7.72887e-06	-6.43335e-05	-2.27886e-06
-0.288244	-0.104576	-1.16139
-0.288211	-0.104588	-1.1612
-0.288125	-0.104556	-1.16093
-0.288019	-0.104582	-1.1607
-0.287851	-0.104478	-1.16051
-0.287756	-0.104445	-1.16001
-0.287511	-0.104384	-1.15965
-0.287312	-0.104192	-1.15912
-0.287032	-0.104108	-1.15847
-0.286623	-0.103942	-1.15744
-0.286278	-0.103883	-1.15636
-0.285957	-0.103711	-1.15528
-0.285581	-0.103632	-1.15399
-0.285193	-0.103515	-1.15261
-0.284888	-0.103305	-1.15097
-0.284384	-0.103146	-1.14914
-0.283878	-0.103047	-1.14727
-0.283412	-0.102758	-1.1455
-0.282725	-0.102509	-1.14355
-0.281955	-0.10229	-1.14137
-0.281209	-0.101984	-1.13944
-0.280633	-0.101714	-1.13746
-0.279863	-0.101462	-1.13519
-0.27904	-0.101077	-1.13281
-0.278092	-0.100722	-1.13037
-0.277256	-0.10031	-1.12764
-0.27641	-0.0999493	-1.12501
-0.275619	-0.0997047	-1.12221
-0.274698	-0.0993471	-1.11934
-0.273667	-0.0988586	-1.11625
-0.272703	-0.0984212	-1.11323
-0.271543	-0.0981651	-1.11004
-0.270607	-0.0976734	-1.10663
-0.269296	-0.097195	-1.10309
-0.268198	-0.0967303	-1.09972
-0.266862	-0.0961795	-1.09599
-0.265703	-0.095792	-1.09227
-0.264245	-0.0952954	-1.08823
-0.263106	-0.0947332	-1.08442
-0.261639	-0.0942342	-1.08042
-0.260351	-0.0937551	-1.07648
-0.258847	-0.0931114	-1.07206
-0.257497	-0.0926716	-1.06779
-0.256196	-0.0921348	-1.06339
-0.254591	-0.0915875	-1.05891
-0.253303	-0.0910287	-1.05412
-0.251822	-0.0904824	-1.04957
-0.250436	-0.0899873	-1.04483
-0.248886	-0.0892987	-1.03998
-0.247107	-0.0886598	-1.03485
-0.245333	-0.0880596	-1.0295
-0.243512	-0.0872964	-1.02423
-0.241763	-0.0866253	-1.01888
-0.240074	-0.0859935	-1.01335
-0.238359	-0.085467	-1.00804
-0.236687	-0.0848139	-1.00275
-0.234981	-0.0840837	-0.997342
-0.233243	-0.0834857	-0.99188
-0.231583	-0.0827831	-0.986659
-0.229861	-0.0822105	-0.981485
-0.228283	-0.0816395	-0.976124
-0.226376	-0.0809088	-0.970654
-0.224622	-0.080229	-0.965229
-0.222828	-0.0795287	-0.95966
-0.220996	-0.0788406	-0.954241
-0.219316	-0.0782007	-0.948909
-0.217723	-0.0776556	-0.943577
-0.216245	-0.0770593	-0.938464
-0.214795	-0.0765024	-0.933243
-0.213143	-0.0759493	-0.927959
-0.211458	-0.0751768	-0.922659
-0.209859	-0.0746408	-0.917406
-0.20809	-0.0739553	-0.912218
-0.206381	-0.0731886	-0.907149
-0.204774	-0.072755	-0.901982
-0.20316	-0.072134	-0.896932
-0.201521	-0.0713325	-0.891667
-0.199841	-0.0707341	-0.886388
-0.198283	-0.0701147	-0.881162
-0.196823	-0.0696485	-0.876246
-0.195459	-0.0689632	-0.871205
-0.193906	-0.068446	-0.86616
-0.192362	-0.0679537	-0.861002
-0.190669	-0.0672088	-0.855796
-0.188906	-0.0664819	-0.850343
-0.187372	-0.0659367	-0.845303
-0.185829	-0.0653584	-0.840212
-0.184325	-0.0647426	-0.835219
-0.182912	-0.0640808	-0.830117
-0.181397	-0.0634907	-0.825048
-0.179974	-0.0630811	-0.820149
-0.178392	-0.0623329	-0.815014
-0.17687	-0.0617343	-0.810257
-0.175461	-0.0610492	-0.805362
-0.174025	-0.0604355	-0.800537
-0.172396	-0.0598112	-0.795501
-0.170862	-0.059316	-0.790567
-0.169407	-0.0586784	-0.785457
-0.167852	-0.0581212	-0.780323
-0.166448	-0.0574962	-0.77557
-0.165215	-0.0570239	-0.770588
-0.163926	-0.0565753	-0.765857
-0.162493	-0.0559612	-0.76093
